ID;afe_ID;costElement_ID;vendor_ID;description;quantity;uom_ID;unitRate;estimatedAmount;currency_ID;startDate;endDate;sourceType;confidenceLevel
dddddddd-dddd-dddd-dddd-ddddddddd101;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999906;66666666-6666-6666-6666-666666666601;Drilling Operations - 45 days;45;33333333-3333-3333-3333-333333333303;85000.00;3825000.00;22222222-2222-2222-2222-222222222201;2025-01-15;2025-03-01;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd102;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999901;66666666-6666-6666-6666-666666666605;Surface Casing 13-3/8 inch;500;33333333-3333-3333-3333-333333333301;450.00;225000.00;22222222-2222-2222-2222-222222222201;2025-01-20;2025-01-25;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd103;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999902;66666666-6666-6666-6666-666666666605;Intermediate Casing 9-5/8 inch;1500;33333333-3333-3333-3333-333333333301;380.00;570000.00;22222222-2222-2222-2222-222222222201;2025-02-01;2025-02-10;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd104;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999903;66666666-6666-6666-6666-666666666605;Production Casing 5-1/2 inch;2000;33333333-3333-3333-3333-333333333301;280.00;560000.00;22222222-2222-2222-2222-222222222201;2025-02-15;2025-02-25;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd105;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999911;66666666-6666-6666-6666-666666666601;Primary Cementing Services;4;33333333-3333-3333-3333-333333333310;125000.00;500000.00;22222222-2222-2222-2222-222222222201;2025-01-25;2025-02-20;Contract;Medium
dddddddd-dddd-dddd-dddd-ddddddddd106;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999909;66666666-6666-6666-6666-666666666602;Wireline Logging Suite;120;33333333-3333-3333-3333-333333333304;2500.00;300000.00;22222222-2222-2222-2222-222222222201;2025-02-25;2025-03-01;Contract;Medium
dddddddd-dddd-dddd-dddd-ddddddddd107;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999910;66666666-6666-6666-6666-666666666602;MWD/LWD Services;45;33333333-3333-3333-3333-333333333303;18000.00;810000.00;22222222-2222-2222-2222-222222222201;2025-01-15;2025-03-01;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd108;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999907;66666666-6666-6666-6666-666666666601;Directional Drilling Services;35;33333333-3333-3333-3333-333333333303;22000.00;770000.00;22222222-2222-2222-2222-222222222201;2025-01-25;2025-02-28;Contract;High
dddddddd-dddd-dddd-dddd-ddddddddd109;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999908;66666666-6666-6666-6666-666666666601;Drilling Fluids & Chemicals;1500;33333333-3333-3333-3333-333333333305;180.00;270000.00;22222222-2222-2222-2222-222222222201;2025-01-15;2025-03-01;Benchmark;Medium
dddddddd-dddd-dddd-dddd-ddddddddd110;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaa101;99999999-9999-9999-9999-999999999913;66666666-6666-6666-6666-666666666606;Rig Mobilization;1;33333333-3333-3333-3333-333333333310;450000.00;450000.00;22222222-2222-2222-2222-222222222201;2025-01-10;2025-01-14;Contract;High
